event_id,date,site_id,type,description
EVT_70,9/27/2025,SITE_4,government,Acara kenegaraan
EVT_71,9/28/2025,SITE_5,concert,Konser indie
EVT_72,9/28/2025,SITE_1,maintenance,Upgrade perangkat
EVT_73,9/28/2025,SITE_2,government,Kunjungan menteri
EVT_74,9/29/2025,SITE_3,concert,Konser pop
EVT_75,9/29/2025,SITE_4,maintenance,Cek perangkat
EVT_76,9/29/2025,SITE_5,government,Acara resmi kantor
EVT_77,9/30/2025,SITE_1,concert,Pertunjukan musik rakyat
EVT_78,9/30/2025,SITE_2,maintenance,Perawatan perangkat
EVT_79,9/30/2025,SITE_3,government,Acara kenegaraan
EVT_80,10/1/2025,SITE_4,concert,Konser pop lokal
EVT_81,10/1/2025,SITE_5,maintenance,Cek antena dan kabel
EVT_82,10/1/2025,SITE_1,government,Acara resmi kantor walikota
EVT_83,10/2/2025,SITE_2,concert,Pertunjukan musik rock
EVT_84,10/3/2025,SITE_2,concert,Konser jazz malam
EVT_85,10/3/2025,SITE_3,maintenance,Perawatan perangkat
EVT_86,10/3/2025,SITE_4,government,Acara kenegaraan
EVT_87,10/4/2025,SITE_5,concert,Konser indie
EVT_88,10/4/2025,SITE_1,maintenance,Upgrade perangkat
EVT_89,10/4/2025,SITE_2,government,Kunjungan menteri
EVT_90,10/5/2025,SITE_3,concert,Konser pop
EVT_91,10/5/2025,SITE_4,maintenance,Cek perangkat
EVT_92,10/5/2025,SITE_5,government,Acara resmi kantor
EVT_93,10/6/2025,SITE_1,concert,Pertunjukan musik rakyat
EVT_94,10/6/2025,SITE_2,maintenance,Perawatan perangkat
EVT_95,10/6/2025,SITE_3,government,Acara kenegaraan
EVT_96,10/7/2025,SITE_4,concert,Konser pop lokal
EVT_97,10/7/2025,SITE_5,maintenance,Cek antena dan kabel
EVT_98,10/7/2025,SITE_1,government,Acara resmi kantor walikota
EVT_99,10/8/2025,SITE_2,concert,Pertunjukan musik rock
