alarm_id,timestamp,site_id,severity,alarm_type,description
ALM_67,2025-01-01 00:15:00,SITE_25,major,LINK_DOWN,Auto-generated dummy alarm
ALM_68,2025-01-02 12:30:00,SITE_28,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_69,2025-01-01 19:45:00,SITE_13,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_70,2025-01-01 07:15:00,SITE_38,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_71,2025-01-02 16:00:00,SITE_4,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_72,2025-01-03 16:15:00,SITE_34,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_73,2025-01-03 17:00:00,SITE_6,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_74,2025-01-01 08:30:00,SITE_44,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_75,2025-01-01 15:15:00,SITE_37,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_76,2025-01-01 10:15:00,SITE_27,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_77,2025-01-02 09:15:00,SITE_14,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_78,2025-01-02 06:30:00,SITE_17,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_79,2025-01-02 14:15:00,SITE_30,major,CPRI_LOS,Auto-generated dummy alarm
ALM_80,2025-01-01 01:00:00,SITE_30,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_81,2025-01-01 09:15:00,SITE_35,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_82,2025-01-01 16:45:00,SITE_23,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_83,2025-01-02 23:15:00,SITE_19,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_84,2025-01-03 21:30:00,SITE_46,major,CPRI_LOS,Auto-generated dummy alarm
ALM_85,2025-01-03 22:45:00,SITE_20,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_86,2025-01-01 17:00:00,SITE_17,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_87,2025-01-03 22:45:00,SITE_10,major,POWER_FAIL,Auto-generated dummy alarm
ALM_88,2025-01-02 02:45:00,SITE_46,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_89,2025-01-02 09:45:00,SITE_33,major,POWER_FAIL,Auto-generated dummy alarm
ALM_90,2025-01-01 06:30:00,SITE_6,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_91,2025-01-02 11:15:00,SITE_3,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_92,2025-01-01 16:30:00,SITE_41,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_93,2025-01-03 08:30:00,SITE_36,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_94,2025-01-03 23:45:00,SITE_1,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_95,2025-01-01 19:00:00,SITE_35,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_96,2025-01-03 22:30:00,SITE_10,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_97,2025-01-01 05:15:00,SITE_20,major,CPRI_LOS,Auto-generated dummy alarm
ALM_98,2025-01-02 21:45:00,SITE_14,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_99,2025-01-01 13:00:00,SITE_23,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_100,2025-01-01 19:45:00,SITE_16,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_101,2025-01-03 04:45:00,SITE_2,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_102,2025-01-03 04:30:00,SITE_43,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_103,2025-01-02 10:00:00,SITE_11,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_104,2025-01-03 00:45:00,SITE_3,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_105,2025-01-02 01:30:00,SITE_30,major,POWER_FAIL,Auto-generated dummy alarm
ALM_106,2025-01-02 05:00:00,SITE_15,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_107,2025-01-03 03:00:00,SITE_22,major,CPRI_LOS,Auto-generated dummy alarm
ALM_108,2025-01-02 11:30:00,SITE_23,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_109,2025-01-03 20:30:00,SITE_22,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_110,2025-01-02 09:15:00,SITE_12,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_111,2025-01-01 04:45:00,SITE_7,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_112,2025-01-02 20:00:00,SITE_47,major,LINK_DOWN,Auto-generated dummy alarm
ALM_113,2025-01-03 17:15:00,SITE_8,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_114,2025-01-02 08:30:00,SITE_3,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_115,2025-01-01 00:00:00,SITE_34,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_116,2025-01-02 22:30:00,SITE_28,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_117,2025-01-02 16:00:00,SITE_43,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_118,2025-01-03 16:45:00,SITE_20,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_119,2025-01-02 17:45:00,SITE_26,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_120,2025-01-03 22:45:00,SITE_9,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_121,2025-01-03 00:30:00,SITE_44,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_122,2025-01-02 14:30:00,SITE_26,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_123,2025-01-02 14:45:00,SITE_19,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_124,2025-01-02 17:00:00,SITE_30,major,LINK_DOWN,Auto-generated dummy alarm
ALM_125,2025-01-02 03:15:00,SITE_33,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_126,2025-01-01 10:45:00,SITE_19,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_127,2025-01-01 11:45:00,SITE_49,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_128,2025-01-02 04:45:00,SITE_13,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_129,2025-01-01 05:45:00,SITE_16,major,CPRI_LOS,Auto-generated dummy alarm
ALM_130,2025-01-03 10:15:00,SITE_27,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_131,2025-01-03 01:00:00,SITE_32,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_132,2025-01-01 18:45:00,SITE_42,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_133,2025-01-01 13:30:00,SITE_50,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_134,2025-01-01 22:30:00,SITE_45,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_135,2025-01-01 06:15:00,SITE_36,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_136,2025-01-03 10:15:00,SITE_9,major,POWER_FAIL,Auto-generated dummy alarm
ALM_137,2025-01-03 08:30:00,SITE_40,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_138,2025-01-03 22:00:00,SITE_29,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_139,2025-01-03 09:30:00,SITE_17,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_140,2025-01-03 18:30:00,SITE_32,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_141,2025-01-02 11:00:00,SITE_29,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_142,2025-01-02 06:00:00,SITE_18,major,POWER_FAIL,Auto-generated dummy alarm
ALM_143,2025-01-03 21:00:00,SITE_6,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_144,2025-01-02 05:30:00,SITE_25,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_145,2025-01-02 03:15:00,SITE_5,major,LINK_DOWN,Auto-generated dummy alarm
ALM_146,2025-01-02 18:15:00,SITE_35,major,LINK_DOWN,Auto-generated dummy alarm
ALM_147,2025-01-01 07:45:00,SITE_14,major,LINK_DOWN,Auto-generated dummy alarm
ALM_148,2025-01-01 02:30:00,SITE_49,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_149,2025-01-03 13:00:00,SITE_1,major,POWER_FAIL,Auto-generated dummy alarm
ALM_150,2025-01-03 01:45:00,SITE_27,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_151,2025-01-03 14:15:00,SITE_15,major,LINK_DOWN,Auto-generated dummy alarm
ALM_152,2025-01-03 14:00:00,SITE_2,major,POWER_FAIL,Auto-generated dummy alarm
ALM_153,2025-01-03 03:45:00,SITE_47,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_154,2025-01-01 16:15:00,SITE_40,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_155,2025-01-03 02:15:00,SITE_38,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_156,2025-01-01 10:30:00,SITE_42,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_157,2025-01-03 11:00:00,SITE_12,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_158,2025-01-03 00:30:00,SITE_21,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_159,2025-01-02 17:45:00,SITE_22,major,POWER_FAIL,Auto-generated dummy alarm
ALM_160,2025-01-03 05:45:00,SITE_17,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_161,2025-01-01 02:15:00,SITE_48,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_162,2025-01-02 20:45:00,SITE_15,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_163,2025-01-01 05:00:00,SITE_49,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_164,2025-01-02 01:30:00,SITE_2,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_165,2025-01-02 06:30:00,SITE_9,major,CPRI_LOS,Auto-generated dummy alarm
ALM_166,2025-01-02 03:45:00,SITE_30,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_167,2025-01-02 23:00:00,SITE_11,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_168,2025-01-01 20:45:00,SITE_20,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_169,2025-01-02 15:45:00,SITE_37,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_170,2025-01-03 02:45:00,SITE_46,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_171,2025-01-02 07:00:00,SITE_7,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_172,2025-01-01 15:15:00,SITE_37,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_173,2025-01-03 20:00:00,SITE_28,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_174,2025-01-01 08:45:00,SITE_33,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_175,2025-01-01 01:30:00,SITE_27,major,CPRI_LOS,Auto-generated dummy alarm
ALM_176,2025-01-03 07:15:00,SITE_24,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_177,2025-01-01 19:30:00,SITE_28,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_178,2025-01-03 20:45:00,SITE_50,major,LINK_DOWN,Auto-generated dummy alarm
ALM_179,2025-01-03 07:45:00,SITE_47,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_180,2025-01-02 17:15:00,SITE_16,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_181,2025-01-03 09:30:00,SITE_16,major,LINK_DOWN,Auto-generated dummy alarm
ALM_182,2025-01-02 19:00:00,SITE_2,major,POWER_FAIL,Auto-generated dummy alarm
ALM_183,2025-01-01 23:15:00,SITE_32,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_184,2025-01-02 09:00:00,SITE_22,major,POWER_FAIL,Auto-generated dummy alarm
ALM_185,2025-01-03 23:00:00,SITE_1,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_186,2025-01-01 10:45:00,SITE_16,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_187,2025-01-03 14:30:00,SITE_36,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_188,2025-01-03 14:45:00,SITE_29,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_189,2025-01-02 13:30:00,SITE_15,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_190,2025-01-02 15:00:00,SITE_43,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_191,2025-01-03 12:30:00,SITE_36,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_192,2025-01-03 06:15:00,SITE_48,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_193,2025-01-02 21:00:00,SITE_45,major,POWER_FAIL,Auto-generated dummy alarm
ALM_194,2025-01-02 15:00:00,SITE_17,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_195,2025-01-02 00:30:00,SITE_21,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_196,2025-01-02 00:30:00,SITE_14,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_197,2025-01-02 11:15:00,SITE_47,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_198,2025-01-01 12:45:00,SITE_13,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_199,2025-01-02 22:00:00,SITE_12,major,CPRI_LOS,Auto-generated dummy alarm
ALM_200,2025-01-03 20:15:00,SITE_9,major,CPRI_LOS,Auto-generated dummy alarm
ALM_201,2025-01-01 06:45:00,SITE_36,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_202,2025-01-03 14:45:00,SITE_7,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_203,2025-01-03 12:00:00,SITE_31,major,POWER_FAIL,Auto-generated dummy alarm
ALM_204,2025-01-01 23:30:00,SITE_4,major,LINK_DOWN,Auto-generated dummy alarm
ALM_205,2025-01-01 14:30:00,SITE_5,major,LINK_DOWN,Auto-generated dummy alarm
ALM_206,2025-01-01 09:15:00,SITE_37,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_207,2025-01-01 19:15:00,SITE_10,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_208,2025-01-01 10:45:00,SITE_16,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_209,2025-01-02 04:45:00,SITE_50,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_210,2025-01-03 09:30:00,SITE_29,major,LINK_DOWN,Auto-generated dummy alarm
ALM_211,2025-01-02 15:00:00,SITE_37,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_212,2025-01-01 12:30:00,SITE_49,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_213,2025-01-02 09:45:00,SITE_43,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_214,2025-01-02 06:30:00,SITE_12,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_215,2025-01-01 20:00:00,SITE_1,major,LINK_DOWN,Auto-generated dummy alarm
ALM_216,2025-01-03 12:00:00,SITE_19,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_217,2025-01-02 12:45:00,SITE_46,major,LINK_DOWN,Auto-generated dummy alarm
ALM_218,2025-01-01 09:00:00,SITE_44,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_219,2025-01-02 01:15:00,SITE_28,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_220,2025-01-01 19:00:00,SITE_18,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_221,2025-01-01 07:30:00,SITE_11,major,POWER_FAIL,Auto-generated dummy alarm
ALM_222,2025-01-03 08:00:00,SITE_8,major,POWER_FAIL,Auto-generated dummy alarm
ALM_223,2025-01-03 03:30:00,SITE_18,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_224,2025-01-03 08:00:00,SITE_6,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_225,2025-01-03 07:15:00,SITE_48,major,POWER_FAIL,Auto-generated dummy alarm
ALM_226,2025-01-01 03:15:00,SITE_6,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_227,2025-01-02 10:15:00,SITE_37,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_228,2025-01-03 12:00:00,SITE_34,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_229,2025-01-02 11:30:00,SITE_12,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_230,2025-01-03 14:45:00,SITE_6,major,POWER_FAIL,Auto-generated dummy alarm
ALM_231,2025-01-03 04:15:00,SITE_22,major,CPRI_LOS,Auto-generated dummy alarm
ALM_232,2025-01-01 20:30:00,SITE_22,major,LINK_DOWN,Auto-generated dummy alarm
ALM_233,2025-01-02 12:45:00,SITE_43,major,CPRI_LOS,Auto-generated dummy alarm
ALM_234,2025-01-03 10:00:00,SITE_6,major,POWER_FAIL,Auto-generated dummy alarm
ALM_235,2025-01-02 17:15:00,SITE_8,major,CPRI_LOS,Auto-generated dummy alarm
ALM_236,2025-01-03 21:15:00,SITE_30,major,CPRI_LOS,Auto-generated dummy alarm
ALM_237,2025-01-02 00:00:00,SITE_34,major,LINK_DOWN,Auto-generated dummy alarm
ALM_238,2025-01-03 08:30:00,SITE_49,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_239,2025-01-02 10:00:00,SITE_36,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_240,2025-01-03 08:00:00,SITE_45,major,CPRI_LOS,Auto-generated dummy alarm
ALM_241,2025-01-01 03:30:00,SITE_41,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_242,2025-01-01 20:15:00,SITE_20,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_243,2025-01-03 22:30:00,SITE_27,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_244,2025-01-01 14:30:00,SITE_30,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_245,2025-01-03 15:45:00,SITE_46,major,POWER_FAIL,Auto-generated dummy alarm
ALM_246,2025-01-03 05:00:00,SITE_31,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_247,2025-01-03 10:15:00,SITE_36,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_248,2025-01-02 00:15:00,SITE_39,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_249,2025-01-01 08:45:00,SITE_18,major,POWER_FAIL,Auto-generated dummy alarm
ALM_250,2025-01-03 16:45:00,SITE_18,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_251,2025-01-02 14:00:00,SITE_38,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_252,2025-01-01 19:00:00,SITE_29,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_253,2025-01-02 20:00:00,SITE_22,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_254,2025-01-03 10:15:00,SITE_21,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_255,2025-01-03 01:00:00,SITE_15,major,CPRI_LOS,Auto-generated dummy alarm
ALM_256,2025-01-02 16:30:00,SITE_48,major,LINK_DOWN,Auto-generated dummy alarm
ALM_257,2025-01-03 01:15:00,SITE_43,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_258,2025-01-03 15:15:00,SITE_3,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_259,2025-01-01 12:45:00,SITE_29,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_260,2025-01-01 01:45:00,SITE_47,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_261,2025-01-01 19:45:00,SITE_5,major,POWER_FAIL,Auto-generated dummy alarm
ALM_262,2025-01-02 19:15:00,SITE_40,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_263,2025-01-01 10:15:00,SITE_22,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_264,2025-01-02 16:30:00,SITE_41,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_265,2025-01-03 21:15:00,SITE_3,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_266,2025-01-02 06:00:00,SITE_41,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_267,2025-01-02 05:00:00,SITE_48,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_268,2025-01-01 12:30:00,SITE_49,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_269,2025-01-03 08:45:00,SITE_11,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_270,2025-01-01 03:30:00,SITE_3,major,CPRI_LOS,Auto-generated dummy alarm
ALM_271,2025-01-02 13:30:00,SITE_23,major,LINK_DOWN,Auto-generated dummy alarm
ALM_272,2025-01-01 18:30:00,SITE_16,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_273,2025-01-01 23:00:00,SITE_11,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_274,2025-01-03 00:45:00,SITE_40,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_275,2025-01-03 15:30:00,SITE_38,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_276,2025-01-03 11:00:00,SITE_41,major,LINK_DOWN,Auto-generated dummy alarm
ALM_277,2025-01-02 08:30:00,SITE_43,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_278,2025-01-02 12:45:00,SITE_44,minor,VSWR_HIGH,Auto-generated dummy alarm
